target_entropy,best_loss,early_stopped
0,6.941701576579362e-05,1
0.05,0.08599196374416351,1
0.1,0.2523573338985443,1
0.15,0.3386829197406769,1
0.2,0.02080947533249855,0
0.25,0.009197665378451347,1
0.3,1.123626708984375,1
0.35,0.008341267704963684,0
0.4,0.2066115438938141,1
0.45,0.021567754447460175,1
0.5,0.028011292219161987,1
0.55,0.02531825751066208,0
0.6,0.01845053769648075,0
0.65,0.024833694100379944,1
0.7,0.022379569709300995,1
0.75,0.019109491258859634,1
0.8,0.6590042114257812,1
0.85,0.37531179189682007,1
0.9,4.724714756011963,1
0.95,0.019999876618385315,0
1.0,0.022775370627641678,0
1.05,0.025927232578396797,1
1.1,0.03403042256832123,1
1.15,0.04683095961809158,1
1.2,0.05187148228287697,0
1.25,0.02941735088825226,1
1.3,0.047314003109931946,1
1.35,0.055671244859695435,1
1.4,0.04020560905337334,1
1.45,0.06370027363300323,0
1.5,0.043248262256383896,1
1.55,0.04743413254618645,1
1.6,0.03971537947654724,1
1.65,0.05485036224126816,1
1.7,0.057405438274145126,0
1.75,0.07558579742908478,1
1.8,0.08884268999099731,1
1.85,0.07047738134860992,0
1.9,0.04534408450126648,1
1.95,0.06043979525566101,1
2.0,0.08691799640655518,1
2.05,0.05806078016757965,1
2.1,0.07395777106285095,0
2.15,0.06708981841802597,1
2.2,0.058556780219078064,1
2.25,0.07996557652950287,1
2.3,0.10426253080368042,1
2.35,0.0749603807926178,1
2.4,0.06314808130264282,1
2.45,0.0950726643204689,1
2.5,0.10262323170900345,1
2.55,0.08051556348800659,1
2.6,0.07585560530424118,0
2.65,0.10878405719995499,1
2.7,0.11059372127056122,0
2.75,0.08349338173866272,1
2.8,0.1147875040769577,1
2.85,0.12401928007602692,1
2.9,0.10306930541992188,1
2.95,0.11384212970733643,1
3.0,0.10593459010124207,1
3.05,0.11534242331981659,1
3.1,0.1253756284713745,1
3.15,0.1358959972858429,1
3.2,0.14860722422599792,1
3.25,0.15948578715324402,1
3.3,0.16247867047786713,1
3.35,0.18356886506080627,1
3.4,0.1606231927871704,1
3.45,0.2217053771018982,1
3.5,0.234201580286026,1
3.55,0.20102456212043762,1
3.6,0.3176437020301819,1
3.65,0.26521357893943787,1
3.7,0.30298441648483276,1
3.75,0.30241844058036804,1
3.8,0.30782705545425415,1
3.85,0.2947505712509155,1
3.9,0.34393739700317383,1
3.95,0.3747403025627136,1
4.0,0.39887022972106934,1
4.05,0.41025808453559875,1
4.1,0.3860471844673157,1
4.15,0.45411404967308044,1
4.2,0.6533442139625549,1
4.25,0.5850309729576111,1
4.3,0.6185685396194458,1
4.35,0.5989388227462769,1
4.4,0.6220986247062683,1
4.45,0.6641701459884644,1
4.5,0.7622990012168884,1
4.55,0.7784225940704346,1
4.6,0.8228616714477539,1
4.65,0.836711585521698,1
4.7,0.8676910400390625,1
4.75,1.0294220447540283,1
4.8,1.0990965366363525,1
4.85,1.182320475578308,1
4.9,1.1682114601135254,1
4.95,1.2155194282531738,1
5.0,1.2856624126434326,1
5.05,1.302579641342163,1
5.1,1.4074021577835083,1
5.15,1.3824231624603271,1
5.2,1.5970244407653809,1
5.25,1.6621114015579224,1
5.3,1.607560157775879,1
5.35,1.8158841133117676,1
5.4,1.6571509838104248,1
5.45,1.94101083278656,1
5.5,2.0127651691436768,1
5.55,2.072273015975952,1
5.6,2.0008010864257812,1
5.65,2.0650248527526855,1
5.7,2.118741035461426,1
5.75,2.1202259063720703,1
5.8,2.3167943954467773,1
5.85,2.3212857246398926,1
5.9,2.4400482177734375,1
5.95,2.376549243927002,1
6.0,2.6002306938171387,1
6.05,2.6070189476013184,1
6.1,2.645036458969116,1
6.15,2.6564204692840576,1
6.2,2.7863450050354004,1
6.25,2.748293876647949,1
6.3,2.8326032161712646,1
6.35,2.8360626697540283,1
6.4,2.963651657104492,1
6.45,2.9548451900482178,1
6.5,2.9957220554351807,1
6.55,2.9939794540405273,1
6.6,3.0496277809143066,1
6.65,3.0804836750030518,1
6.7,3.10758638381958,1
6.75,3.142960548400879,1
6.8,3.2615790367126465,1
6.85,3.2435426712036133,1
6.9,3.26568603515625,1
6.95,3.2535462379455566,1
7.0,3.3034660816192627,1
7.05,3.343290328979492,1
7.1,3.33976411819458,1
7.15,3.412039279937744,1
7.2,3.3111820220947266,1
7.25,3.4147677421569824,1
7.3,3.39312481880188,1
7.35,3.4066812992095947,1
7.4,3.3576693534851074,1
7.45,3.377081871032715,1
7.5,3.365225315093994,1
7.55,3.3796274662017822,1
7.6,3.396622896194458,1
7.65,3.3666186332702637,1
7.7,3.3662123680114746,0
7.75,3.3329005241394043,1
7.8,3.384453535079956,1
7.85,3.314621686935425,1
7.9,3.25421404838562,0
7.95,3.2716736793518066,1
8.0,3.2792246341705322,1
8.05,3.1896233558654785,1
8.1,3.142958164215088,1
8.15,3.164961338043213,1
8.2,3.180833578109741,1
8.25,3.159996271133423,1
8.3,3.0721561908721924,1
8.35,3.1147470474243164,1
8.4,3.0884971618652344,1
8.45,3.01023530960083,1
8.5,3.0284109115600586,1
8.55,2.9175150394439697,1
8.6,2.880636215209961,1
8.65,2.951472759246826,1
8.7,2.818908929824829,1
8.75,2.889342784881592,1
8.8,2.8243284225463867,1
8.85,2.715595245361328,1
8.9,2.76336932182312,1
8.95,2.6281487941741943,1
9.0,2.7094969749450684,1
9.05,2.5413191318511963,1
9.1,2.5555739402770996,1
9.15,2.5402233600616455,1
9.2,2.4098641872406006,1
9.25,2.383512496948242,1
9.3,2.4659523963928223,1
9.35,2.3891141414642334,1
9.4,2.257279872894287,1
9.45,2.3168601989746094,1
9.5,2.2866365909576416,1
9.55,2.1274919509887695,1
9.6,2.0809316635131836,1
9.65,2.036749839782715,0
9.7,2.10058856010437,1
9.75,2.0635907649993896,1
9.8,1.9076964855194092,1
9.85,1.8605365753173828,0
9.9,1.9206860065460205,1
9.95,1.7635953426361084,1
10.0,1.7167611122131348,1
10.05,1.7649569511413574,1
10.1,1.7398624420166016,1
10.15,1.6766550540924072,1
10.2,1.6478538513183594,1
10.25,1.5565385818481445,1
10.3,1.5375739336013794,1
10.35,1.405588150024414,1
10.4,1.4070600271224976,1
10.45,1.4209755659103394,1
10.5,1.3408372402191162,1
10.55,1.1833873987197876,1
10.6,1.2309192419052124,1
10.65,1.1781229972839355,1
10.7,1.0357773303985596,0
10.75,0.9884124994277954,1
10.8,1.0413665771484375,1
