target_entropy,best_loss,early_stopped
0,6.0514936194522306e-05,1
0.05,0.06741967797279358,1
0.1,0.22312341630458832,1
0.15,0.29656657576560974,1
0.2,0.45137327909469604,1
0.25,0.00686553493142128,1
0.3,0.852462649345398,1
0.35,0.005760013125836849,0
0.4,0.15072108805179596,1
0.45,0.013246692717075348,0
0.5,0.023767447099089622,1
0.55,0.022446874529123306,1
0.6,0.0142390551045537,1
0.65,0.014742615632712841,0
0.7,0.013699693605303764,1
0.75,0.20795674622058868,1
0.8,0.015649108216166496,1
0.85,0.3939577043056488,1
0.9,4.551322937011719,1
0.95,0.016749782487750053,1
1.0,0.02014799229800701,0
1.05,0.018170684576034546,1
1.1,0.031532905995845795,1
1.15,0.030222181230783463,1
1.2,0.043354738503694534,1
1.25,0.025053396821022034,1
1.3,0.036576926708221436,0
1.35,0.0472315177321434,0
1.4,0.04461173340678215,1
1.45,0.048733901232481,0
1.5,0.039812758564949036,1
1.55,0.03629700466990471,0
1.6,0.03899462893605232,1
1.65,0.05676069110631943,1
1.7,0.06208840757608414,1
1.75,0.04989197477698326,1
1.8,0.05874597281217575,1
1.85,0.05618521198630333,0
1.9,0.042225368320941925,1
1.95,0.06908968091011047,1
2.0,0.07611459493637085,1
2.05,0.037627872079610825,1
2.1,0.058621492236852646,1
2.15,0.04677780345082283,1
2.2,0.06272602081298828,1
2.25,0.0678921639919281,1
2.3,0.10036766529083252,1
2.35,0.06298264861106873,1
2.4,0.04967387393116951,1
2.45,0.06092476472258568,0
2.5,0.08441781997680664,1
2.55,0.059139713644981384,1
2.6,0.0632363110780716,1
2.65,0.06850211322307587,0
2.7,0.08680811524391174,0
2.75,0.06607397645711899,1
2.8,0.07352539896965027,1
2.85,0.09464927017688751,1
2.9,0.057645753026008606,0
2.95,0.07637068629264832,0
3.0,0.07150454819202423,1
3.05,0.10815676301717758,1
3.1,0.08873846381902695,0
3.15,0.09661729633808136,1
3.2,0.09451336413621902,0
3.25,0.12287267297506332,1
3.3,0.10934944450855255,0
3.35,0.10872767865657806,0
3.4,0.09495381265878677,0
3.45,0.1463393121957779,1
3.5,0.17306143045425415,1
3.55,0.1110883578658104,1
3.6,0.18464556336402893,0
3.65,0.1446254551410675,1
3.7,0.2136826366186142,1
3.75,0.13849224150180817,1
3.8,0.1956111639738083,1
3.85,0.15263646841049194,1
3.9,0.1637020707130432,1
3.95,0.19012752175331116,0
4.0,0.1848098337650299,0
4.05,0.21781986951828003,0
4.1,0.2001015841960907,1
4.15,0.20901933312416077,0
4.2,0.26827460527420044,0
4.25,0.24942263960838318,0
4.3,0.309587299823761,0
4.35,0.25800755620002747,0
4.4,0.2746534049510956,0
4.45,0.3070889711380005,0
4.5,0.3563699722290039,0
4.55,0.35155582427978516,0
4.6,0.37536048889160156,0
4.65,0.3624008893966675,1
4.7,0.4061666429042816,1
4.75,0.5429565906524658,0
4.8,0.46711093187332153,0
4.85,0.5785684585571289,1
4.9,0.5507230162620544,1
4.95,0.699420154094696,1
5.0,0.7420221567153931,1
5.05,0.724737286567688,1
5.1,0.860694944858551,1
5.15,0.8556729555130005,1
5.2,1.0735894441604614,1
5.25,1.0412400960922241,1
5.3,1.1118288040161133,1
5.35,1.2705427408218384,1
5.4,1.0500574111938477,1
5.45,1.3808143138885498,1
5.5,1.3151240348815918,1
5.55,1.5556617975234985,1
5.6,1.5395841598510742,1
5.65,1.6056530475616455,1
5.7,1.6581157445907593,1
5.75,1.7190310955047607,1
5.8,1.7977344989776611,1
5.85,1.8697047233581543,1
5.9,2.065913438796997,1
5.95,2.0356645584106445,1
6.0,2.308945417404175,1
6.05,2.3616435527801514,1
6.1,2.4463090896606445,1
6.15,2.451969623565674,1
6.2,2.652822494506836,1
6.25,2.6078989505767822,1
6.3,2.697413444519043,1
6.35,2.7082462310791016,1
6.4,2.883162260055542,1
6.45,2.8947532176971436,1
6.5,2.9339115619659424,1
6.55,2.942235231399536,1
6.6,3.0152297019958496,1
6.65,3.0544557571411133,1
6.7,3.090406656265259,1
6.75,3.133544445037842,1
6.8,3.2549006938934326,1
6.85,3.239715576171875,1
6.9,3.2618002891540527,1
6.95,3.2454657554626465,1
7.0,3.2949273586273193,1
7.05,3.3356571197509766,1
7.1,3.3312594890594482,1
7.15,3.3933393955230713,1
7.2,3.300002336502075,1
7.25,3.407179355621338,1
7.3,3.377305269241333,1
7.35,3.3946914672851562,1
7.4,3.342667579650879,1
7.45,3.373825788497925,1
7.5,3.3520989418029785,1
7.55,3.3751440048217773,1
7.6,3.3797082901000977,1
7.65,3.345487356185913,1
7.7,3.3651952743530273,1
7.75,3.3253173828125,1
7.8,3.335890054702759,1
7.85,3.2806944847106934,1
7.9,3.248852252960205,1
7.95,3.2314655780792236,1
8.0,3.2434725761413574,1
8.05,3.1849751472473145,1
8.1,3.1434333324432373,1
8.15,3.1609935760498047,1
8.2,3.1264641284942627,1
8.25,3.0987799167633057,1
8.3,3.0673694610595703,1
8.35,3.0518431663513184,1
8.4,3.0114965438842773,1
8.45,2.9595978260040283,1
8.5,2.946727752685547,1
8.55,2.9160404205322266,1
8.6,2.8785619735717773,1
8.65,2.854084014892578,1
8.7,2.8124587535858154,1
8.75,2.77767276763916,1
8.8,2.73649263381958,1
8.85,2.712183952331543,1
8.9,2.6689915657043457,1
8.95,2.6251816749572754,1
9.0,2.5914855003356934,1
9.05,2.534086227416992,1
9.1,2.4984290599823,1
9.15,2.477942705154419,1
9.2,2.405963897705078,1
9.25,2.38230037689209,1
9.3,2.3439931869506836,1
9.35,2.2956395149230957,1
9.4,2.2561044692993164,1
9.45,2.211090326309204,1
9.5,2.1658921241760254,1
9.55,2.1243271827697754,1
9.6,2.078857421875,1
9.65,2.0343081951141357,1
9.7,1.9886479377746582,1
9.75,1.9465522766113281,1
9.8,1.9041131734848022,1
9.85,1.8573222160339355,1
9.9,1.8056007623672485,1
9.95,1.7616918087005615,1
10.0,1.7137141227722168,1
10.05,1.6664079427719116,1
10.1,1.6196483373641968,1
10.15,1.5716089010238647,1
10.2,1.5199103355407715,1
10.25,1.471555233001709,1
10.3,1.422924518585205,1
10.35,1.3733899593353271,1
10.4,1.3283281326293945,1
10.45,1.275396466255188,1
10.5,1.2280676364898682,1
10.55,1.181077003479004,1
10.6,1.1320195198059082,1
10.65,1.0838706493377686,1
10.7,1.0345816612243652,1
10.75,0.9862760305404663,1
10.8,0.9363582134246826,1
10.85,0.8860578536987305,1
10.9,0.8392460346221924,1
10.95,0.7897182703018188,1
11.0,0.7417080402374268,1
11.05,0.6915504932403564,1
11.1,0.6445572972297668,1
11.15,0.5956693887710571,1
11.2,0.5471693277359009,1
